Comparison,Z,P.unadj,P.adj
Acanthurus coeruleus - Scarus guacamaia,3.6143988725956455,3.010452908320583e-4,0.019868989194915847
Scarus guacamaia - Scarus iseri,-3.6767957624990197,2.361819859970989e-4,0.015588011075808528
Scarus guacamaia - Scarus taeniopterus,-3.749603599380189,1.7711431655849402e-4,0.011689544892860605
Acanthurus coeruleus - Scarus vetula,3.6143988725956455,3.010452908320583e-4,0.019868989194915847
Scarus iseri - Scarus vetula,3.6767957624990197,2.361819859970989e-4,0.015588011075808528
Scarus taeniopterus - Scarus vetula,3.749603599380189,1.7711431655849402e-4,0.011689544892860605
Scarus guacamaia - Sparisoma aurofrenatum,-3.545741656112916,3.915098283423198e-4,0.02583964867059311
Scarus vetula - Sparisoma aurofrenatum,-3.545741656112916,3.915098283423198e-4,0.02583964867059311
Acanthurus coeruleus - Sparisoma chrysopterum,3.49962666002845,4.659101986356228e-4,0.030750073109951107
Scarus iseri - Sparisoma chrysopterum,3.505687207839537,4.554300950028635e-4,0.03005838627018899
Scarus taeniopterus - Sparisoma chrysopterum,3.5751067565096277,3.500850152472485e-4,0.0231056110063184
Sparisoma aurofrenatum - Sparisoma chrysopterum,3.3807320202333755,7.229301117012342e-4,0.04771338737228146
Scarus taeniopterus - Sparisoma viride,3.4001259823505796,6.735481221051296e-4,0.04445417605893855
